FunctionName,Frequency (Total: 10200),Percentage
fair,13,0.13
function,13,0.13
checkwin,13,0.13
printArray,13,0.13
isVowel,12,0.12
readCase,12,0.12
analyze,12,0.12
issquare,12,0.12
chk,12,0.12
check1,12,0.12
compara,12,0.12
mod,12,0.12
chomp,12,0.12
t,12,0.12
cmpfunc,12,0.12
quickSort,12,0.12
column,12,0.12
Check,12,0.12
dump,12,0.12
sink,12,0.12
read_board,12,0.12
mrand_init,11,0.11
cleararray,11,0.11
checkarray,11,0.11
route,11,0.11
time_snapshot,11,0.11
my_read,11,0.11
my_write,11,0.11
time_resume,11,0.11
mrand_int,11,0.11
halt,11,0.11
equal,11,0.11
mrand_resume,11,0.11
get_input,11,0.11
GenerateFilename,11,0.11
mrand_01,11,0.11
mrand_snapshot,11,0.11
label,11,0.11
reallycleararray,11,0.11
row,11,0.11
get_int,11,0.11
DoIt,11,0.11
int,11,0.11
stalls,11,0.11
execute,11,0.11
isPossible,11,0.11
findmin,11,0.11
eval,11,0.11
time_diff,11,0.11
time_lap,11,0.11
print_error,11,0.11
outn,11,0.11
decide,11,0.11
time_ref,11,0.11
btrace,11,0.11
my_free,11,0.11
errn,11,0.11
read_case,10,0.1
findmax,10,0.1
areSorted,10,0.1
GCD,10,0.1
checkDiagonal,10,0.1
read_map,10,0.1
checkTidy,10,0.1
compar,10,0.1
printarr,10,0.1
ip,10,0.1
dig,10,0.1
getResult,10,0.1
status,10,0.1
checker,10,0.1
diff,10,0.1
isEmpty,10,0.1
scan,10,0.1
toggle,10,0.1
is_square,10,0.1
readline,10,0.1
conv,10,0.1
do_case,10,0.1
dp,10,0.1
read_data,10,0.1
PrintUsage,9,0.09
check_rows,9,0.09
getnum,9,0.09
prt,9,0.09
ElaboraCaso,9,0.09
print_array,9,0.09
exec,9,0.09
read_problem,9,0.09
foo,9,0.09
value,9,0.09
check_line,9,0.09
cost,9,0.09
factorial,9,0.09
chopString,9,0.09
int_cmp,9,0.09
area,9,0.09
do_it,9,0.09
printCase,9,0.09
game,9,0.09
invoke,9,0.09
printLawn,9,0.09
;,9,0.09
verif,9,0.09
read_uint_from_file,9,0.09
getMin,9,0.09
write,9,0.09
execTestCase,9,0.09
ecrit_fichier,9,0.09
palindromo,9,0.09
equals,9,0.09
enqueue,8,0.08
check_winner,8,0.08
run_exp,8,0.08
IsTidy,8,0.08
meth,8,0.08
print_result,8,0.08
empty,8,0.08
fail,8,0.08
lp,8,0.08
shift,8,0.08
on,8,0.08
is_possible,8,0.08
is_palin,8,0.08
check_board,8,0.08
isOn,8,0.08
precompute,8,0.08
ReadInput,8,0.08
maxcol,8,0.08
maxrow,8,0.08
readNumber,8,0.08
checkLine,8,0.08
has_won,8,0.08
ans,8,0.08
checkpalin,8,0.08
poisk,8,0.08
check_status,8,0.08
check_full,8,0.08
init_input,8,0.08
read_input_int,8,0.08
_read_number,8,0.08
gravity,8,0.08
rotate,8,0.08
is_fair,8,0.08
checkBoard,8,0.08
can,8,0.08
c,8,0.08
id,8,0.08
read_number,8,0.08
Process,8,0.08
print_list,8,0.08
mystrcmp,8,0.08
basin,8,0.08
getChar,8,0.08
intSort,8,0.08
follow,8,0.08
val,8,0.08
loop,8,0.08
evaluate,8,0.08
travel,8,0.08
setup,8,0.08
pre,8,0.08
fgetline,8,0.08
calcula,8,0.08
findNext,8,0.08
solv,8,0.08
trim,8,0.08
less,8,0.08
runCase,8,0.08
sgn,8,0.08
read_int2,8,0.08
getline,8,0.08
menor,8,0.08
p,8,0.08
do_one_case,8,0.08
compare2,8,0.08
read_int4,8,0.08
getData,8,0.08
get_next,8,0.08
aux,7,0.07
flushLine,7,0.07
writeOutput,7,0.07
cmp1,7,0.07
order,7,0.07
move,7,0.07
gen,7,0.07
query,7,0.07
compare_int,7,0.07
dequeue,7,0.07
has,7,0.07
writeCase,7,0.07
gettime,7,0.07
*/,7,0.07
replace,7,0.07
getint,7,0.07
inc,7,0.07
SnapperChain,7,0.07
check_columns,7,0.07
countFairAndSquare,7,0.07
isPalin,7,0.07
hash,7,0.07
com,7,0.07
num,7,0.07
getn,7,0.07
findMin,7,0.07
read_intx,7,0.07
pallindrome,7,0.07
iter,7,0.07
get_index,7,0.07
zero,7,0.07
sqr,7,0.07
check_valid,7,0.07
happy,7,0.07
logic,7,0.07
part,7,0.07
check_draw,7,0.07
isTidyNumber,7,0.07
dec,7,0.07
check_column,7,0.07
tidynumber,7,0.07
contains,7,0.07
turn,7,0.07
lee,7,0.07
precalc,7,0.07
isFair,7,0.07
isfair,7,0.07
sagot,7,0.07
peek,7,0.07
merge_sort,7,0.07
preprocess,7,0.07
sign,7,0.07
process_testcase,7,0.07
Load,7,0.07
maximumColumn,7,0.07
sub,7,0.07
readInt,7,0.07
checktidy,7,0.07
ab,7,0.07
maximumLine,7,0.07
ParseInput,7,0.07
walk,6,0.06
read_double5,6,0.06
cmpr,6,0.06
write_line_for_case,6,0.06
comp1,6,0.06
comp2,6,0.06
sort2,6,0.06
checkPalin,6,0.06
get_an_answer,6,0.06
delete,6,0.06
read_a_record,6,0.06
compare1,6,0.06
PrintOutput,6,0.06
track,6,0.06
cmp_int,6,0.06
readint,6,0.06
printmap,6,0.06
check_possible,6,0.06
printResult,6,0.06
getNext,6,0.06
choose,6,0.06
digits,6,0.06
printTable,6,0.06
isOK,6,0.06
ColmnSearch,6,0.06
check_diagonal,6,0.06
isComplete,6,0.06
input_board,6,0.06
horizontal,6,0.06
vertical,6,0.06
rowcheck,6,0.06
checkpalindrome,6,0.06
GetData,6,0.06
sort1,6,0.06
traverse,6,0.06
lawn,6,0.06
checkRows,6,0.06
incomplete,6,0.06
checkDiag1,6,0.06
checkDiag2,6,0.06
chkcol,6,0.06
destroy,6,0.06
insertion_sort,6,0.06
rowSearch,6,0.06
notover,6,0.06
diagonalSearch,6,0.06
prob,6,0.06
is_vowel,6,0.06
writeResult,6,0.06
full,6,0.06
ac,6,0.06
c_ac,6,0.06
trans,6,0.06
checkOpposed,6,0.06
abso,6,0.06
check_tidy,6,0.06
WP,6,0.06
checkc,6,0.06
OWP,6,0.06
init_data,6,0.06
MAX,6,0.06
MIN,6,0.06
line,6,0.06
left,6,0.06
right,6,0.06
add_dir,6,0.06
doCase,6,0.06
bfs,6,0.06
make,6,0.06
eo,6,0.06
divide,6,0.06
myabs,6,0.06
printList,6,0.06
fall,6,0.06
parseString,6,0.06
ratkaise,6,0.06
check_oppose,6,0.06
calculateTime,6,0.06
pancake,6,0.06
isminus,6,0.06
test1,6,0.06
Abs,6,0.06
writeData,6,0.06
get_fp_num,6,0.06
modexp,6,0.06
finished,6,0.06
readNextVal,6,0.06
comput,6,0.06
decrement,6,0.06
contain,6,0.06
readData,6,0.06
ordena,6,0.06
Judge,6,0.06
my_cmp,6,0.06
processNextData,6,0.06
swapdig,6,0.06
paw,6,0.06
isfull,6,0.06
checkFor,6,0.06
getNextData,6,0.06
checkfull,6,0.06
filled,6,0.06
mymax,6,0.06
readFile,6,0.06
hmilitar,6,0.06
shellsort,6,0.06
empalma,6,0.06
getpos,6,0.06
put,6,0.06
getindexofengine,6,0.06
gotillnextline,6,0.06
checkDraw,6,0.06
get_number,6,0.06
bt,6,0.06
schedule,6,0.06
ntests,6,0.06
putNextData,6,0.06
checkColumn,6,0.06
is_consonant,6,0.06
findarr,6,0.06
get_T,6,0.06
cmpstringp,6,0.06
initialise,6,0.06
execAllTestsCases,5,0.05
pro,5,0.05
distance,5,0.05
getCount,5,0.05
doProcess,5,0.05
printRes,5,0.05
rowCheck,5,0.05
lireNombre,5,0.05
ecrireResultat,5,0.05
exec_tc,5,0.05
binarySearch,5,0.05
fileinput,5,0.05
dump_set,5,0.05
minn,5,0.05
fans,5,0.05
problem,5,0.05
cut_grass,5,0.05
read_it,5,0.05
is_connect,5,0.05
Find,5,0.05
flips,5,0.05
cnt,5,0.05
findTidy,5,0.05
checkCase,5,0.05
load_test_case,5,0.05
deal,5,0.05
bSearch,5,0.05
print_map,5,0.05
checkr,5,0.05
is_valid,5,0.05
processcase,5,0.05
max2,5,0.05
deinit_input,5,0.05
getInputs,5,0.05
print_arr,5,0.05
STsize,5,0.05
STindex,5,0.05
indexR,5,0.05
stNEW,5,0.05
STinit,5,0.05
checksame,5,0.05
getno,5,0.05
GetNextTestCase,5,0.05
GetTestCaseCount,5,0.05
pow,5,0.05
is_on,5,0.05
comparator,5,0.05
size,5,0.05
strtoi,5,0.05
eatNl,5,0.05
Win,5,0.05
readend,5,0.05
getinput,5,0.05
show,5,0.05
PrintResult,5,0.05
index,5,0.05
checa,5,0.05
readTestCase,5,0.05
magicka,5,0.05
opposed,5,0.05
revs,5,0.05
initial,5,0.05
LCM,5,0.05
comb,5,0.05
pow2,5,0.05
oppose,5,0.05
app,5,0.05
del,5,0.05
form,5,0.05
printArr,5,0.05
sq,5,0.05
testCase,5,0.05
max1,5,0.05
re,5,0.05
qsort,5,0.05
IsValid,5,0.05
is_happy,5,0.05
checkpal,5,0.05
fix,5,0.05
getNum,5,0.05
res,5,0.05
binsearch,5,0.05
x,5,0.05
proc,5,0.05
n,5,0.05
matches,5,0.05
get_num,5,0.05
recur,5,0.05
number,5,0.05
Usage,5,0.05
Count,5,0.05
Calculate,5,0.05
arrange,5,0.05
eout,5,0.05
readfile,5,0.05
minus,5,0.05
getTime,5,0.05
select,5,0.05
redirect,5,0.05
inp,5,0.05
mymin,5,0.05
checkstring,5,0.05
getOutput,5,0.05
free_list,5,0.05
eval_prob,5,0.05
QuickSort,5,0.05
readIntFromFile,5,0.05
outputCaseResult,5,0.05
processATestCase,5,0.05
Fichier,5,0.05
findMax,5,0.05
gnums,5,0.05
