FunctionName,Frequency (Total: 24507),Percentage
checkCol,19,0.08
scan,18,0.07
saveFile,18,0.07
possible,18,0.07
solve_test_case,18,0.07
checkcol,18,0.07
printCase,18,0.07
check_win,18,0.07
pop,18,0.07
get_time,18,0.07
doTestCase,18,0.07
isSquare,18,0.07
out,18,0.07
solution,18,0.07
sum,18,0.07
diagonal,18,0.07
checkrow,18,0.07
read_file,17,0.07
err,17,0.07
try,17,0.07
isPal,16,0.07
isPower,16,0.07
intersect,16,0.07
ok,16,0.07
test_case,16,0.07
Check,16,0.07
ispalindrome,16,0.07
printArray,16,0.07
flow,16,0.07
solve2,16,0.07
__sincos,15,0.06
solve_problem,15,0.06
answer,15,0.06
__inline_isnormalf,15,0.06
__inline_signbitl,15,0.06
__sincospif,15,0.06
dist,15,0.06
__inline_isfinitef,15,0.06
__sincospi,15,0.06
getInt,15,0.06
__inline_isfinitel,15,0.06
display,15,0.06
__inline_isfinited,15,0.06
__inline_isinff,15,0.06
__sincosf,15,0.06
__inline_isnormald,15,0.06
__inline_isnormall,15,0.06
read_uint,15,0.06
mark,15,0.06
__inline_isnand,15,0.06
__inline_isnanl,15,0.06
function,15,0.06
__inline_signbitf,15,0.06
analyze,15,0.06
__inline_signbitd,15,0.06
__inline_isinfd,15,0.06
__inline_isnanf,15,0.06
dump,15,0.06
__inline_isinfl,15,0.06
draw,15,0.06
cmp2,14,0.06
check_diag,14,0.06
F,14,0.06
recurse,14,0.06
mod,14,0.06
do_case,14,0.06
won,14,0.06
lastpow,14,0.06
int,14,0.06
verifica,14,0.06
winner,14,0.06
copy,14,0.06
read_line,14,0.06
checkwin,13,0.05
imprime,13,0.05
fair,13,0.05
readFile,13,0.05
set,13,0.05
findmax,13,0.05
is_pal,13,0.05
val,13,0.05
decide,13,0.05
single_case,13,0.05
cut,13,0.05
ispalin,13,0.05
isVowel,12,0.05
foo,12,0.05
isPossible,12,0.05
chomp,12,0.05
read_board,12,0.05
compara,12,0.05
check1,12,0.05
factorial,12,0.05
my_free,12,0.05
issquare,12,0.05
quickSort,12,0.05
solve1,12,0.05
column,12,0.05
sink,12,0.05
precompute,12,0.05
chk,12,0.05
value,12,0.05
eat,11,0.04
halt,11,0.04
my_write,11,0.04
my_read,11,0.04
getData,11,0.04
num,11,0.04
GenerateFilename,11,0.04
prt,11,0.04
cleararray,11,0.04
btrace,11,0.04
reallycleararray,11,0.04
mrand_resume,11,0.04
label,11,0.04
outn,11,0.04
print_error,11,0.04
mrand_snapshot,11,0.04
mrand_int,11,0.04
mrand_01,11,0.04
mrand_init,11,0.04
route,11,0.04
time_snapshot,11,0.04
time_diff,11,0.04
conv,11,0.04
time_lap,11,0.04
errn,11,0.04
time_resume,11,0.04
checkarray,11,0.04
time_ref,11,0.04
DoIt,11,0.04
GCD,11,0.04
sign,11,0.04
solver,11,0.04
findmin,11,0.04
cost,11,0.04
execute,11,0.04
findMax,11,0.04
row,11,0.04
compar,11,0.04
get_input,11,0.04
exec,11,0.04
stalls,11,0.04
areSorted,10,0.04
checkDiagonal,10,0.04
id,10,0.04
getResult,10,0.04
readInt,10,0.04
empty,10,0.04
status,10,0.04
findMin,10,0.04
shift,10,0.04
follow,10,0.04
toggle,10,0.04
dig,10,0.04
maxi,10,0.04
read_map,10,0.04
diff,10,0.04
fast_unsigned,10,0.04
dp,10,0.04
isEmpty,10,0.04
equal,10,0.04
ip,10,0.04
readline,10,0.04
read_case,10,0.04
ans,10,0.04
merge_sort,10,0.04
is_square,10,0.04
read_data,10,0.04
printarr,10,0.04
checker,10,0.04
checkTidy,10,0.04
invoke,9,0.04
getMin,9,0.04
charToInt,9,0.04
write,9,0.04
decrement,9,0.04
split,9,0.04
len,9,0.04
write_output,9,0.04
printLawn,9,0.04
PrintUsage,9,0.04
getnum,9,0.04
execTestCase,9,0.04
verif,9,0.04
ecrit_fichier,9,0.04
equals,9,0.04
check_rows,9,0.04
area,9,0.04
int_cmp,9,0.04
ab,9,0.04
check_line,9,0.04
ElaboraCaso,9,0.04
solve_one,9,0.04
get_max,9,0.04
palindromo,9,0.04
game,9,0.04
read_uint_from_file,9,0.04
read_problem,9,0.04
chopString,9,0.04
;,9,0.04
MIN,9,0.04
getn,9,0.04
do_it,9,0.04
move,9,0.04
insertion_sort,9,0.04
print_array,9,0.04
Process,8,0.03
has_won,8,0.03
readNumber,8,0.03
trim,8,0.03
is_fair,8,0.03
checkLine,8,0.03
delete,8,0.03
do_one_case,8,0.03
evaluate,8,0.03
solv,8,0.03
gravity,8,0.03
map,8,0.03
compare_int,8,0.03
print_result,8,0.03
isOn,8,0.03
maxrow,8,0.03
read_input_int,8,0.03
mystrcmp,8,0.03
sgn,8,0.03
read_number,8,0.03
is_possible,8,0.03
dec,8,0.03
lp,8,0.03
poisk,8,0.03
loop,8,0.03
basin,8,0.03
on,8,0.03
checkpalin,8,0.03
check_status,8,0.03
run_exp,8,0.03
less,8,0.03
bfs,8,0.03
meth,8,0.03
getChar,8,0.03
runCase,8,0.03
enqueue,8,0.03
can,8,0.03
setup,8,0.03
free_test_case,8,0.03
IsTidy,8,0.03
init_input,8,0.03
check_board,8,0.03
run_test_case,8,0.03
menor,8,0.03
getline,8,0.03
get_next,8,0.03
checkBoard,8,0.03
read_int4,8,0.03
rotate,8,0.03
is_palin,8,0.03
fgetline,8,0.03
score,8,0.03
maxcol,8,0.03
trial,8,0.03
print_list,8,0.03
fail,8,0.03
ReadInput,8,0.03
compare2,8,0.03
check_full,8,0.03
intSort,8,0.03
p,8,0.03
decompose,8,0.03
read_int2,8,0.03
findNext,8,0.03
c,8,0.03
inc,8,0.03
_read_number,8,0.03
check_winner,8,0.03
travel,8,0.03
cmp_int,8,0.03
calcula,8,0.03
check_valid,8,0.03
pre,8,0.03
gen,8,0.03
gettime,7,0.03
isTidyNumber,7,0.03
sub,7,0.03
writeCase,7,0.03
process_testcase,7,0.03
cmp1,7,0.03
flushLine,7,0.03
checktidy,7,0.03
reduce,7,0.03
check_columns,7,0.03
proc,7,0.03
dijkstra,7,0.03
ParseInput,7,0.03
find_max,7,0.03
res,7,0.03
has,7,0.03
maximumColumn,7,0.03
replace,7,0.03
check_draw,7,0.03
Load,7,0.03
isPalin,7,0.03
sagot,7,0.03
printArr,7,0.03
order,7,0.03
check_column,7,0.03
readstuff,7,0.03
hcf,7,0.03
iter,7,0.03
aux,7,0.03
countFairAndSquare,7,0.03
sqr,7,0.03
pancake,7,0.03
happy,7,0.03
maximumLine,7,0.03
pallindrome,7,0.03
precalc,7,0.03
getMax,7,0.03
digits,7,0.03
write_test_case,7,0.03
isfair,7,0.03
deal,7,0.03
query,7,0.03
readLine,7,0.03
destroy,7,0.03
contains,7,0.03
peek,7,0.03
tidynumber,7,0.03
read_intx,7,0.03
one_case,7,0.03
getint,7,0.03
SnapperChain,7,0.03
get_index,7,0.03
trans,7,0.03
divide,7,0.03
debug,7,0.03
com,7,0.03
preprocess,7,0.03
lee,7,0.03
dequeue,7,0.03
writeOutput,7,0.03
logic,7,0.03
read_test_case,7,0.03
generate,7,0.03
isFair,7,0.03
zero,7,0.03
*/,7,0.03
turn,7,0.03
ovation,7,0.03
part,7,0.03
hash,7,0.03
prob,6,0.02
findarr,6,0.02
writeResult,6,0.02
comp1,6,0.02
OWP,6,0.02
is_consonant,6,0.02
checkc,6,0.02
isComplete,6,0.02
fall,6,0.02
getStr,6,0.02
printmap,6,0.02
isOK,6,0.02
gotillnextline,6,0.02
WP,6,0.02
getindexofengine,6,0.02
get_T,6,0.02
checkColumn,6,0.02
swapdig,6,0.02
bt,6,0.02
getNextData,6,0.02
isminus,6,0.02
oid,6,0.02
compare1,6,0.02
track,6,0.02
processNextData,6,0.02
parseString,6,0.02
putNextData,6,0.02
printList,6,0.02
getNext,6,0.02
Abs,6,0.02
filled,6,0.02
cmpstringp,6,0.02
add_dir,6,0.02
paw,6,0.02
checkDraw,6,0.02
contain,6,0.02
LCM,6,0.02
writeData,6,0.02
eq,6,0.02
get_number,6,0.02
Judge,6,0.02
MAX,6,0.02
checkpalindrome,6,0.02
empalma,6,0.02
shellsort,6,0.02
PrintOutput,6,0.02
read_double,6,0.02
checkfull,6,0.02
binsearch,6,0.02
choose,6,0.02
hmilitar,6,0.02
read_char,6,0.02
sort1,6,0.02
check_possible,6,0.02
readData,6,0.02
getpos,6,0.02
read_double5,6,0.02
solveTestCase,6,0.02
checkRows,6,0.02
getTime,6,0.02
prod,6,0.02
ntests,6,0.02
cnt,6,0.02
del,6,0.02
read_char_int,6,0.02
GetData,6,0.02
myabs,6,0.02
printResult,6,0.02
schedule,6,0.02
init_data,6,0.02
process_test_case,6,0.02
my_cmp,6,0.02
comp2,6,0.02
re,6,0.02
read_a_record,6,0.02
walk,6,0.02
root,6,0.02
recur,6,0.02
put,6,0.02
ac,6,0.02
eo,6,0.02
get_fp_num,6,0.02
check_tidy,6,0.02
doCase,6,0.02
line,6,0.02
modexp,6,0.02
initialise,6,0.02
ratkaise,6,0.02
Dmax,6,0.02
check_diagonal,6,0.02
horizontal,6,0.02
checkPalin,6,0.02
vertical,6,0.02
chkcol,6,0.02
readint,6,0.02
get_an_answer,6,0.02
c_ac,6,0.02
checkDiag2,6,0.02
isfull,6,0.02
checkDiag1,6,0.02
ordena,6,0.02
show,6,0.02
end,6,0.02
lawn,6,0.02
full,6,0.02
test1,6,0.02
traverse,6,0.02
solve_the_problem,6,0.02
printTable,6,0.02
notover,6,0.02
standing_ovation,6,0.02
is_vowel,6,0.02
finished,6,0.02
left,6,0.02
max1,6,0.02
check_oppose,6,0.02
checkFor,6,0.02
make,6,0.02
calculateTime,6,0.02
diagonalSearch,6,0.02
input_board,6,0.02
rowcheck,6,0.02
ColmnSearch,6,0.02
possibleornot,6,0.02
mymax,6,0.02
inv,6,0.02
Imax,6,0.02
checkOpposed,6,0.02
incomplete,6,0.02
write_line_for_case,6,0.02
mini,6,0.02
comput,6,0.02
right,6,0.02
abso,6,0.02
readNextVal,6,0.02
cmpr,6,0.02
sort2,6,0.02
rowSearch,6,0.02
PrintResult,5,0.02
flips,5,0.02
ecrireResultat,5,0.02
qsort,5,0.02
QuickSort,5,0.02
execAllTestsCases,5,0.02
findTidy,5,0.02
prep,5,0.02
pow2,5,0.02
free_list,5,0.02
minus,5,0.02
opposed,5,0.02
select,5,0.02
index,5,0.02
arrange,5,0.02
permute,5,0.02
cache,5,0.02
testCase,5,0.02
eval_prob,5,0.02
pow,5,0.02
product,5,0.02
transform,5,0.02
n,5,0.02
is_on,5,0.02
fans,5,0.02
is_happy,5,0.02
checkpal,5,0.02
build,5,0.02
problem,5,0.02
form,5,0.02
checkr,5,0.02
pro,5,0.02
exec_tc,5,0.02
Find,5,0.02
read_it,5,0.02
distance,5,0.02
Calculate,5,0.02
eout,5,0.02
minn,5,0.02
doProcess,5,0.02
app,5,0.02
processcase,5,0.02
eatNl,5,0.02
magicka,5,0.02
pos,5,0.02
x,5,0.02
readTestCase,5,0.02
getOutput,5,0.02
writeResults,5,0.02
readfile,5,0.02
checkstring,5,0.02
oppose,5,0.02
STinit,5,0.02
redirect,5,0.02
stNEW,5,0.02
indexR,5,0.02
STindex,5,0.02
matches,5,0.02
getCount,5,0.02
STsize,5,0.02
maximum,5,0.02
Fichier,5,0.02
comparator,5,0.02
printRes,5,0.02
dump_set,5,0.02
binarySearch,5,0.02
mymin,5,0.02
solve_testcase,5,0.02
getinput,5,0.02
GetNextTestCase,5,0.02
comb,5,0.02
get_num,5,0.02
readinput,5,0.02
doe,5,0.02
getno,5,0.02
Win,5,0.02
checkCase,5,0.02
GetTestCaseCount,5,0.02
Count,5,0.02
inp,5,0.02
total,5,0.02
getval,5,0.02
number,5,0.02
cut_grass,5,0.02
getInputs,5,0.02
max2,5,0.02
five_above,5,0.02
printarray,5,0.02
is_connect,5,0.02
lireNombre,5,0.02
checksame,5,0.02
processATestCase,5,0.02
fileinput,5,0.02
rowCheck,5,0.02
outputCaseResult,5,0.02
size,5,0.02
readIntFromFile,5,0.02
bSearch,5,0.02
f2,5,0.02
readend,5,0.02
is_valid,5,0.02
freeCase,5,0.02
minimum,5,0.02
deinit_input,5,0.02
freeCases,5,0.02
sq,5,0.02
checa,5,0.02
strtoi,5,0.02
fix,5,0.02
Usage,5,0.02
pwr,5,0.02
gnums,5,0.02
fun1,5,0.02
revs,5,0.02
load_test_case,5,0.02
print_map,5,0.02
get_digit,5,0.02
IsValid,5,0.02
initial,5,0.02
print_arr,5,0.02
getNum,5,0.02
simulate,5,0.02
length,5,0.02
checkCombi,4,0.02
is_palindrom,4,0.02
llSort,4,0.02
is_dot,4,0.02
modify,4,0.02
OpenAndReadN,4,0.02
bubbleSort,4,0.02
flip_pancake,4,0.02
readmoreinput,4,0.02
write_line,4,0.02
ligne,4,0.02
sortit,4,0.02
possible_carre,4,0.02
findFlips,4,0.02
checkODiagonal,4,0.02
checkOColumn,4,0.02
chr,4,0.02
applylogic,4,0.02
printMatrix,4,0.02
colonne,4,0.02
liberer,4,0.02
putoutput,4,0.02
solvethis,4,0.02
flipnext,4,0.02
possible_patern,4,0.02
putoutputlast,4,0.02
power10,4,0.02
resultat,4,0.02
IsPalindrome,4,0.02
take,4,0.02
printSolution,4,0.02
Tidy,4,0.02
dissolve,4,0.02
randint,4,0.02
checkORow,4,0.02
parray,4,0.02
checka,4,0.02
getLine,4,0.02
horiz,4,0.02
squareroot,4,0.02
checkComplete,4,0.02
str_cmp,4,0.02
is_big,4,0.02
listcase,4,0.02
checkboard,4,0.02
limpa,4,0.02
vert,4,0.02
InitResultWrite,4,0.02
check_end,4,0.02
DeInitResultWrite,4,0.02
InitData,4,0.02
DeInitData,4,0.02
checkIO,4,0.02
isqrt,4,0.02
readDataSet,4,0.02
checkSum,4,0.02
Resolve,4,0.02
findStatus,4,0.02
complete,4,0.02
writeDataSet,4,0.02
checkV,4,0.02
clearlist,4,0.02
);,4,0.02
bsort,4,0.02
getNumber,4,0.02
palinList,4,0.02
intComp,4,0.02
Limpia,4,0.02
findAnswer,4,0.02
checkH,4,0.02
check_victory,4,0.02
step,4,0.02
get_board,4,0.02
checkDia,4,0.02
ispalindrom,4,0.02
fair_square,4,0.02
readSet,4,0.02
check_for_win,4,0.02
bot,4,0.02
fileread,4,0.02
filewrite,4,0.02
switches,4,0.02
solveCas,4,0.02
checkCols,4,0.02
checkDiags,4,0.02
checkHorizontal,4,0.02
checkVertical,4,0.02
get_len,4,0.02
compareA,4,0.02
fit,4,0.02
check_combine,4,0.02
getCas,4,0.02
CleanUp,4,0.02
maxHeapify,4,0.02
solve_rec,4,0.02
checkDiag,4,0.02
bot_trust,4,0.02
parent,4,0.02
loadCase,4,0.02
fairandsquare,4,0.02
printlawn,4,0.02
isFairAndSquare,4,0.02
print_input,4,0.02
algo,4,0.02
init_input_structure,4,0.02
intercambia,4,0.02
digit,4,0.02
checkd,4,0.02
splitNums,4,0.02
check_won,4,0.02
generate_output,4,0.02
process_data,4,0.02
Draw,4,0.02
init_test_case_input,4,0.02
carrega,4,0.02
Convert,4,0.02
numDigits,4,0.02
GetTestParams,4,0.02
qs,4,0.02
read_squar,4,0.02
printinput,4,0.02
addMinutes,4,0.02
desaloca,4,0.02
Union,4,0.02
myComp,4,0.02
prog,4,0.02
solvecase,4,0.02
sendOutputBuffer,4,0.02
flushOutputBuffer,4,0.02
closeFile,4,0.02
TrainforA,4,0.02
TrainforB,4,0.02
convert_min,4,0.02
printCake,4,0.02
my_sqrt,4,0.02
search_C,4,0.02
openInFile,4,0.02
nodot,4,0.02
rechable,4,0.02
cleanup,4,0.02
lawn_destroy,4,0.02
processing,4,0.02
printar,4,0.02
qksort,4,0.02
isPali,4,0.02
openOutFile,4,0.02
finalize,4,0.02
clearLine,4,0.02
oWon,4,0.02
findPrevTidy,4,0.02
nth,4,0.02
isX,4,0.02
init_marked,4,0.02
updateefound,4,0.02
isopp,4,0.02
openChest,4,0.02
xWon,4,0.02
findEngine,4,0.02
handleData,4,0.02
flush,4,0.02
Palindrome,4,0.02
countDigits,4,0.02
parse_line,4,0.02
calcMax,4,0.02
checkpattern,4,0.02
colcheck,4,0.02
performTask,4,0.02
is_full,4,0.02
removeNL,4,0.02
init_board,4,0.02
mergeSort,4,0.02
checkCell,4,0.02
checkBrd,4,0.02
wins,4,0.02
isWin,4,0.02
printStatus,4,0.02
printstr,4,0.02
minutes,4,0.02
m_sort,4,0.02
add1,4,0.02
clear_board,4,0.02
Calc,4,0.02
thread_manager,4,0.02
bs,4,0.02
checkXDiagonal,4,0.02
check_map,4,0.02
Transpose,4,0.02
chkrow,4,0.02
analyse,4,0.02
is_palyn,4,0.02
owin,4,0.02
check_diags,4,0.02
solve3,4,0.02
is_winner,4,0.02
abs_diff,4,0.02
checkPalindrome,4,0.02
show_arrays,4,0.02
fillcount,4,0.02
qs_comp,4,0.02
printMessage,4,0.02
FreeMemory,4,0.02
findWinner,4,0.02
xwin,4,0.02
checkWin,4,0.02
ckcol,4,0.02
ckraw,4,0.02
checkrec,4,0.02
clearre,4,0.02
judge_row,4,0.02
read_and_solve,4,0.02
insertNode,4,0.02
qcmp,4,0.02
getindex,4,0.02
numfriends,4,0.02
isPntInCircle,4,0.02
disp,4,0.02
issorted,4,0.02
isPntOnCircle,4,0.02
four_omin,4,0.02
trace,4,0.02
up,4,0.02
trie_delete,4,0.02
merging,4,0.02
friends,4,0.02
clear_matrix,4,0.02
find_sink,4,0.02
getInp,4,0.02
color,4,0.02
revcake,4,0.02
toc,4,0.02
welcome,4,0.02
detflow,4,0.02
markSink,4,0.02
putLabels,4,0.02
best,4,0.02
pntToCircle,4,0.02
dump_matrix,4,0.02
ReadData,4,0.02
three_omin,4,0.02
pntIsEqual,4,0.02
valido,4,0.02
pntLength,4,0.02
inita,4,0.02
pntLength2,4,0.02
handlecase,4,0.02
Compare,4,0.02
first,4,0.02
pntDistance,4,0.02
pntDistance2,4,0.02
pntArgument,4,0.02
pntNormalize,4,0.02
second,4,0.02
pntInnerProduct,4,0.02
pntOuterProduct,4,0.02
pntGenerator,4,0.02
pntToLine,4,0.02
backtrack,4,0.02
X,4,0.02
stringHash,4,0.02
mergesort,4,0.02
euclid,4,0.02
func1,4,0.02
Imin,4,0.02
parse_input,4,0.02
read_input_ints,4,0.02
check_pattern,4,0.02
fastread,4,0.02
calc_basin,4,0.02
labelSinks,4,0.02
findSinks,4,0.02
cross,4,0.02
SolveProblem,4,0.02
finder,4,0.02
find_next,4,0.02
print_dir,4,0.02
getVal,4,0.02
height,4,0.02
standingOvation,4,0.02
isMatch,4,0.02
get_res,4,0.02
match_pattern,4,0.02
shynesspro,4,0.02
s_u16Solve,4,0.02
rhs,4,0.02
my_compare,4,0.02
ver,4,0.02
rem,4,0.02
calc_basins,4,0.02
absF,4,0.02
print_basin,4,0.02
getValue,4,0.02
erase,4,0.02
min4,4,0.02
specialMinute,4,0.02
vFileParseError,4,0.02
trimLine,4,0.02
get_square,4,0.02
checkXColumn,4,0.02
mcd,4,0.02
ascending,4,0.02
my_sighandler,4,0.02
minim,4,0.02
Flip,4,0.02
pntMultiple,4,0.02
pntMultipleDouble,4,0.02
pntMinus,4,0.02
getUntil,4,0.02
bin,4,0.02
TestCase,4,0.02
initOutput,4,0.02
deinitOutput,4,0.02
addNode,4,0.02
stlen,4,0.02
docall,4,0.02
find_basin,4,0.02
iscons,4,0.02
buffercanbe,4,0.02
eaten,4,0.02
readbuffer,4,0.02
takeInputs,4,0.02
docase,4,0.02
IsEqual,4,0.02
Insert,4,0.02
impossible,4,0.02
Verifica,4,0.02
print_matrix,4,0.02
drain,4,0.02
oowp,4,0.02
btr,4,0.02
sortstrarr,4,0.02
checkXRow,4,0.02
powr,4,0.02
OOWP,4,0.02
special,4,0.02
imprimir,4,0.02
compfunc,4,0.02
is_ok,4,0.02
resolver,4,0.02
invert,4,0.02
check_happy,4,0.02
fn,4,0.02
dir_exists,4,0.02
find_solution,4,0.02
freeNode,4,0.02
brute,4,0.02
ClearArrays,4,0.02
owp,4,0.02
Readinput,4,0.02
ascii_convertion,4,0.02
S,4,0.02
bar,4,0.02
process_line,4,0.02
matched,4,0.02
nod,4,0.02
DBGOUT,4,0.02
assign,4,0.02
method2,4,0.02
absolute,4,0.02
ust,4,0.02
BinarySearch,4,0.02
solveproblem,4,0.02
base,4,0.02
r,4,0.02
check_horizontal,4,0.02
bis,4,0.02
adjust,4,0.02
one_omin,4,0.02
printResults,4,0.02
two_omin,4,0.02
pattern_analysis,4,0.02
Result,4,0.02
doubleSign,4,0.02
solveP,4,0.02
Add,4,0.02
method1,4,0.02
pntPlus,4,0.02
ncheck,4,0.02
SolutionPerCase,4,0.02
water,4,0.02
check_x,4,0.02
create,4,0.02
getIndex,4,0.02
createData,4,0.02
fcmp,4,0.02
pntSign,4,0.02
match_count,4,0.02
Module,4,0.02
reverseint,3,0.01
readMap,3,0.01
is_same,3,0.01
invite,3,0.01
switch_count,3,0.01
quaternion,3,0.01
isOddSquare,3,0.01
print_grid,3,0.01
gen_all_combine,3,0.01
removeFirst,3,0.01
run_algo,3,0.01
countSwitches,3,0.01
exist,3,0.01
l,3,0.01
qSort,3,0.01
fprintllp,3,0.01
xxx,3,0.01
getname,3,0.01
PrintBoard,3,0.01
Func,3,0.01
is_perfect_square,3,0.01
findout,3,0.01
isset_backslash_n,3,0.01
FileHandling,3,0.01
minAB,3,0.01
b,3,0.01
recursive,3,0.01
h,3,0.01
add_patrick,3,0.01
getMaximum,3,0.01
countChar,3,0.01
computeFlags,3,0.01
findsub,3,0.01
estlistevide,3,0.01
myasort,3,0.01
mydsort,3,0.01
citeste,3,0.01
perfectSquare,3,0.01
fact,3,0.01
find_str,3,0.01
findtime,3,0.01
isvowel,3,0.01
Print,3,0.01
e,3,0.01
comparFU,3,0.01
comparU,3,0.01
fa,3,0.01
getBest,3,0.01
intField,3,0.01
strField,3,0.01
halve,3,0.01
qmult,3,0.01
printMap,3,0.01
find_winner,3,0.01
do_work,3,0.01
writeFile,3,0.01
ReadFile,3,0.01
inverse,3,0.01
itoa,3,0.01
set_target,3,0.01
allocate,3,0.01
getans,3,0.01
lookup,3,0.01
detect,3,0.01
iswin,3,0.01
_solve,3,0.01
printb,3,0.01
low,3,0.01
setvaluesa,3,0.01
findmina,3,0.01
convertdc,3,0.01
comparD,3,0.01
rot,3,0.01
calc2,3,0.01
validate,3,0.01
tryx,3,0.01
ask,3,0.01
reversenumber,3,0.01
checksq,3,0.01
greedy,3,0.01
isprime,3,0.01
Cmpa,3,0.01
mmax,3,0.01
segment,3,0.01
pow1,3,0.01
final,3,0.01
checkres,3,0.01
Pal,3,0.01
reset_values,3,0.01
findNum,3,0.01
mustbe_return,3,0.01
urn,3,0.01
fairAndSquare,3,0.01
pallin,3,0.01
testcol,3,0.01
fair_and_square,3,0.01
ispali,3,0.01
check_higher,3,0.01
open,3,0.01
isP,3,0.01
ini,3,0.01
how_long,3,0.01
Won,3,0.01
Ans,3,0.01
modularInverse,3,0.01
checkit,3,0.01
set_bit,3,0.01
place,3,0.01
U,3,0.01
helper,3,0.01
dec2bin,3,0.01
checkGameStatus,3,0.01
rightdiagonalCheck,3,0.01
leftdiagonalCheck,3,0.01
columnCheck,3,0.01
getnode,3,0.01
Binario,3,0.01
checkForDraw,3,0.01
rollercoaster,3,0.01
diagonalCheck,3,0.01
check_comb,3,0.01
get_sum,3,0.01
op,3,0.01
calcpalin,3,0.01
inicializa,3,0.01
fill_a_run,3,0.01
create_list,3,0.01
check_number,3,0.01
down,3,0.01
intcomp,3,0.01
displayNode,3,0.01
freeNodes,3,0.01
counter,3,0.01
findEarnings,3,0.01
eurosEarnedOn,3,0.01
zeroArray,3,0.01
g,3,0.01
is_fair_and_square,3,0.01
ugly,3,0.01
sorted,3,0.01
get_fStr,3,0.01
get_answer,3,0.01
conta,3,0.01
read_int_from_file,3,0.01
FindSqrt,3,0.01
obtener_encabezado,3,0.01
getNum2,3,0.01
process_case,3,0.01
top,3,0.01
GetIfSqrPalin,3,0.01
ToNum,3,0.01
Adjust,3,0.01
gt,3,0.01
debug_print,3,0.01
isFull,3,0.01
C,3,0.01
getInpC,3,0.01
present,3,0.01
anly,3,0.01
serve,3,0.01
find_square_palindrome,3,0.01
locate_square_palindrome,3,0.01
isp,3,0.01
checkline,3,0.01
count_fair_and_square,3,0.01
mocnina2,3,0.01
Rec,3,0.01
ExecuteTestCase,3,0.01
power2,3,0.01
parser,3,0.01
compInt,3,0.01
apply_test_case,3,0.01
isValid,3,0.01
tr,3,0.01
pali,3,0.01
caseFunction,3,0.01
Snap,3,0.01
qtimes,3,0.01
question,3,0.01
pancakes,3,0.01
findnext,3,0.01
check_diagonals,3,0.01
next_cell,3,0.01
giveSolution,3,0.01
AreAll9s,3,0.01
generateNextPalindrome,3,0.01
generateNextPalindromeUtil,3,0.01
IsSquare,3,0.01
getCases,3,0.01
ROW_CHECK,3,0.01
COL_CHECK,3,0.01
DIAG_CHECK,3,0.01
find_all,3,0.01
ps,3,0.01
Recurse,3,0.01
getsize,3,0.01
docarry,3,0.01
squareab,3,0.01
printio,3,0.01
checkabove,3,0.01
checkbelow,3,0.01
convertstr,3,0.01
startpd,3,0.01
nextpd,3,0.01
donepd,3,0.01
