Function Name,Frequency,Percentage
display,33,0.039033852996143925
intcmp,33,0.039033852996143925
f1,33,0.039033852996143925
printArray,32,0.03785100896595775
F,32,0.03785100896595775
check_row,32,0.03785100896595775
mult,32,0.03785100896595775
solve_test_case,32,0.03785100896595775
eval,32,0.03785100896595775
read_int,32,0.03785100896595775
square,32,0.03785100896595775
fsqr,31,0.03666816493577157
isqr,31,0.03666816493577157
test_case,31,0.03666816493577157
imax,31,0.03666816493577157
imin,31,0.03666816493577157
get,30,0.035485320905585385
verify,30,0.035485320905585385
foo,30,0.035485320905585385
answer,30,0.035485320905585385
splitn,30,0.035485320905585385
GenerateFilename,30,0.035485320905585385
init_data,30,0.035485320905585385
try,30,0.035485320905585385
sol,29,0.03430247687539921
printBoard,29,0.03430247687539921
dwar,29,0.03430247687539921
initialize,29,0.03430247687539921
mergesort,28,0.033119632845213035
readFile,28,0.033119632845213035
get_result,28,0.033119632845213035
factorial,28,0.033119632845213035
processCase,28,0.033119632845213035
function,28,0.033119632845213035
check_col,27,0.031936788815026845
is_tidy,27,0.031936788815026845
usage,27,0.031936788815026845
solve_problem,27,0.031936788815026845
compar,27,0.031936788815026845
mul,26,0.03075394478484067
snap,26,0.03075394478484067
read_line,26,0.03075394478484067
possible,26,0.03075394478484067
get_time,26,0.03075394478484067
print_array,25,0.02957110075465449
print_board,25,0.02957110075465449
read_uint,25,0.02957110075465449
getInt,25,0.02957110075465449
readLine,25,0.02957110075465449
readline,24,0.028388256724468312
win,24,0.028388256724468312
permute,24,0.028388256724468312
generate,24,0.028388256724468312
mark,24,0.028388256724468312
trans,24,0.028388256724468312
recurse,24,0.028388256724468312
algo,23,0.02720541269428213
draw,23,0.02720541269428213
readBoard,23,0.02720541269428213
verif,23,0.02720541269428213
getNumber,23,0.02720541269428213
checkRow,22,0.02602256866409595
part,22,0.02602256866409595
next_int,22,0.02602256866409595
checkrow,22,0.02602256866409595
ispal,22,0.02602256866409595
setup,22,0.02602256866409595
analyze,22,0.02602256866409595
read_file,22,0.02602256866409595
isprime,22,0.02602256866409595
next_c,21,0.024839724633909776
printResult,21,0.024839724633909776
solve_case,21,0.024839724633909776
ok,21,0.024839724633909776
c,21,0.024839724633909776
require,21,0.024839724633909776
next_cb,21,0.024839724633909776
next_p,21,0.024839724633909776
itoa,21,0.024839724633909776
init_cb,21,0.024839724633909776
init_c,21,0.024839724633909776
bfs,21,0.024839724633909776
del,21,0.024839724633909776
get_int,21,0.024839724633909776
init_p,21,0.024839724633909776
GCD,21,0.024839724633909776
readInt,21,0.024839724633909776
divisor,21,0.024839724633909776
nextInt,21,0.024839724633909776
out,20,0.023656880603723594
dump,20,0.023656880603723594
solver,20,0.023656880603723594
reduce,20,0.023656880603723594
isSquare,20,0.023656880603723594
getData,20,0.023656880603723594
get_max,20,0.023656880603723594
load,20,0.023656880603723594
checkDigits,20,0.023656880603723594
checkcol,20,0.023656880603723594
read_case,20,0.023656880603723594
recycle,20,0.023656880603723594
isPossible,20,0.023656880603723594
Check,20,0.023656880603723594
findMax,19,0.022474036573537415
intersect,19,0.022474036573537415
copy,19,0.022474036573537415
backtrack,19,0.022474036573537415
pancake,19,0.022474036573537415
is_prime,19,0.022474036573537415
set,19,0.022474036573537415
check_palindrome,19,0.022474036573537415
read_char,19,0.022474036573537415
mergeSort,19,0.022474036573537415
istidy,19,0.022474036573537415
checkCol,19,0.022474036573537415
map,19,0.022474036573537415
checker,19,0.022474036573537415
proc,19,0.022474036573537415
fair,19,0.022474036573537415
dp,19,0.022474036573537415
quick,19,0.022474036573537415
getOutput,19,0.022474036573537415
qsort,18,0.021291192543351233
quick_sort,18,0.021291192543351233
ElaboraCaso,18,0.021291192543351233
mod,18,0.021291192543351233
cmp2,18,0.021291192543351233
count_sheep,18,0.021291192543351233
diagonal,18,0.021291192543351233
imprime,18,0.021291192543351233
saveFile,18,0.021291192543351233
write,18,0.021291192543351233
findmax,18,0.021291192543351233
isPal,18,0.021291192543351233
handle,18,0.021291192543351233
Main,18,0.021291192543351233
doTestCase,18,0.021291192543351233
game,18,0.021291192543351233
dig,18,0.021291192543351233
single_case,17,0.020108348513165054
getline,17,0.020108348513165054
solve2,17,0.020108348513165054
err,17,0.020108348513165054
len,17,0.020108348513165054
my_free,17,0.020108348513165054
sheep,17,0.020108348513165054
exec,17,0.020108348513165054
isPower,17,0.020108348513165054
delete,17,0.020108348513165054
findMin,17,0.020108348513165054
getResult,17,0.020108348513165054
check1,17,0.020108348513165054
verifica,17,0.020108348513165054
hash,17,0.020108348513165054
flow,17,0.020108348513165054
conv,16,0.018925504482978875
dist,16,0.018925504482978875
MIN,16,0.018925504482978875
getTime,16,0.018925504482978875
value,16,0.018925504482978875
start,16,0.018925504482978875
Find,16,0.018925504482978875
check_diag,16,0.018925504482978875
getLine,16,0.018925504482978875
ispalindrome,16,0.018925504482978875
read_data,16,0.018925504482978875
check_win,16,0.018925504482978875
prime,16,0.018925504482978875
right,16,0.018925504482978875
invert,16,0.018925504482978875
can,16,0.018925504482978875
inc,16,0.018925504482978875
length,16,0.018925504482978875
compare1,16,0.018925504482978875
Process,16,0.018925504482978875
solve1,15,0.017742660452792693
empty,15,0.017742660452792693
cut,15,0.017742660452792693
print_list,15,0.017742660452792693
prepare,15,0.017742660452792693
size,15,0.017742660452792693
getMax,15,0.017742660452792693
getMin,15,0.017742660452792693
print_map,15,0.017742660452792693
replace,15,0.017742660452792693
print_result,15,0.017742660452792693
write_output,15,0.017742660452792693
evaluate,15,0.017742660452792693
digit,15,0.017742660452792693
solve_one,15,0.017742660452792693
getnum,15,0.017742660452792693
ans,15,0.017742660452792693
contains,15,0.017742660452792693
int_cmp,15,0.017742660452792693
logic,15,0.017742660452792693
cookie,14,0.016559816422606517
flush,14,0.016559816422606517
maxi,14,0.016559816422606517
won,14,0.016559816422606517
bubble_sort,14,0.016559816422606517
counting_sheep,14,0.016559816422606517
winner,14,0.016559816422606517
invoke,14,0.016559816422606517
status,14,0.016559816422606517
equal,14,0.016559816422606517
merge_sort,14,0.016559816422606517
isEmpty,14,0.016559816422606517
one_case,14,0.016559816422606517
chomp,14,0.016559816422606517
gen,14,0.016559816422606517
time,14,0.016559816422606517
traverse,14,0.016559816422606517
read_problem,14,0.016559816422606517
analyse,14,0.016559816422606517
move,14,0.016559816422606517
lastpow,14,0.016559816422606517
is_pal,14,0.016559816422606517
pw,14,0.016559816422606517
countChar,14,0.016559816422606517
choose,14,0.016559816422606517
check2,14,0.016559816422606517
print_arr,13,0.015376972392420335
val,13,0.015376972392420335
is_square,13,0.015376972392420335
trim,13,0.015376972392420335
charToInt,13,0.015376972392420335
magic,13,0.015376972392420335
cost,13,0.015376972392420335
printArr,13,0.015376972392420335
show,13,0.015376972392420335
prt,13,0.015376972392420335
checkwin,13,0.015376972392420335
solve_testcase,13,0.015376972392420335
checkarray,13,0.015376972392420335
row,13,0.015376972392420335
findmin,13,0.015376972392420335
decide,13,0.015376972392420335
print_matrix,13,0.015376972392420335
dec,13,0.015376972392420335
get_digits,13,0.015376972392420335
oppose,13,0.015376972392420335
calcula,13,0.015376972392420335
cleararray,13,0.015376972392420335
ispalin,13,0.015376972392420335
pow1,13,0.015376972392420335
bin,13,0.015376972392420335
getn,13,0.015376972392420335
readstuff,13,0.015376972392420335
inp,13,0.015376972392420335
readint,13,0.015376972392420335
decode,13,0.015376972392420335
best,13,0.015376972392420335
counting,13,0.015376972392420335
num,13,0.015376972392420335
my_cmp,13,0.015376972392420335
happy,13,0.015376972392420335
compara,12,0.014194128362234156
divide,12,0.014194128362234156
sign,12,0.014194128362234156
play,12,0.014194128362234156
fprintllp,12,0.014194128362234156
POPQUEUE,12,0.014194128362234156
intField,12,0.014194128362234156
strField,12,0.014194128362234156
deceitful,12,0.014194128362234156
MAX,12,0.014194128362234156
do_calc,12,0.014194128362234156
is_fair,12,0.014194128362234156
powr,12,0.014194128362234156
loop,12,0.014194128362234156
solve_instance,12,0.014194128362234156
recycled,12,0.014194128362234156
travel,12,0.014194128362234156
DoIt,12,0.014194128362234156
make,12,0.014194128362234156
zero,12,0.014194128362234156
read_uint_from_file,12,0.014194128362234156
REMOVEELEM,12,0.014194128362234156
cmp_int,12,0.014194128362234156
binsearch,12,0.014194128362234156
isVowel,12,0.014194128362234156
cmp1,12,0.014194128362234156
inv,12,0.014194128362234156
column,12,0.014194128362234156
checkDiagonal,12,0.014194128362234156
REMOVEELEMS,12,0.014194128362234156
toggle,12,0.014194128362234156
decrement,12,0.014194128362234156
SWAP,12,0.014194128362234156
pre,12,0.014194128362234156
bubble,12,0.014194128362234156
checkTidy,12,0.014194128362234156
checkBoard,12,0.014194128362234156
shellsort,12,0.014194128362234156
get_next_line,12,0.014194128362234156
deceit,12,0.014194128362234156
compare_int,12,0.014194128362234156
read_board,12,0.014194128362234156
read_map,12,0.014194128362234156
read_ints,12,0.014194128362234156
issquare,12,0.014194128362234156
precompute,12,0.014194128362234156
ParseInput,12,0.014194128362234156
diff,12,0.014194128362234156
left,12,0.014194128362234156
execute,12,0.014194128362234156
eat,12,0.014194128362234156
compare2,12,0.014194128362234156
QuickSort,12,0.014194128362234156
base,12,0.014194128362234156
print_error,11,0.013011284332047976
mrand_snapshot,11,0.013011284332047976
mrand_resume,11,0.013011284332047976
halt,11,0.013011284332047976
factor,11,0.013011284332047976
REP,11,0.013011284332047976
cycle,11,0.013011284332047976
mrand_int,11,0.013011284332047976
enqueue,11,0.013011284332047976
complete,11,0.013011284332047976
iter,11,0.013011284332047976
my_write,11,0.013011284332047976
sink,11,0.013011284332047976
mrand_init,11,0.013011284332047976
mrand_01,11,0.013011284332047976
reader_refresh,11,0.013011284332047976
isPowerOfTwo,11,0.013011284332047976
btrace,11,0.013011284332047976
intSort,11,0.013011284332047976
pow,11,0.013011284332047976
time_resume,11,0.013011284332047976
time_snapshot,11,0.013011284332047976
readstring,11,0.013011284332047976
time_diff,11,0.013011284332047976
time_ref,11,0.013011284332047976
time_lap,11,0.013011284332047976
nextLong,11,0.013011284332047976
errn,11,0.013011284332047976
outn,11,0.013011284332047976
reader_next,11,0.013011284332047976
die,11,0.013011284332047976
create,11,0.013011284332047976
peek,11,0.013011284332047976
route,11,0.013011284332047976
B,11,0.013011284332047976
reallycleararray,11,0.013011284332047976
pancakes,11,0.013011284332047976
insertion_sort,11,0.013011284332047976
disp,11,0.013011284332047976
score,11,0.013011284332047976
isFull,11,0.013011284332047976
read_test_case,11,0.013011284332047976
palindromo,11,0.013011284332047976
getCount,11,0.013011284332047976
pb_fonction,11,0.013011284332047976
pb_get_nb_args,11,0.013011284332047976
pb_get_taille,11,0.013011284332047976
trial,11,0.013011284332047976
read_double,11,0.013011284332047976
label,11,0.013011284332047976
reader_init,11,0.013011284332047976
deal,11,0.013011284332047976
increment,11,0.013011284332047976
initialise,11,0.013011284332047976
do_it,11,0.013011284332047976
my_read,11,0.013011284332047976
bt,11,0.013011284332047976
ipow,11,0.013011284332047976
get_num,11,0.013011284332047976
check_column,11,0.013011284332047976
printLawn,11,0.013011284332047976
testCase,11,0.013011284332047976
gettime,11,0.013011284332047976
stalls,11,0.013011284332047976
strrev,11,0.013011284332047976
order,11,0.013011284332047976
eq,10,0.011828440301861797
mypow,10,0.011828440301861797
basin,10,0.011828440301861797
find_time,10,0.011828440301861797
is_possible,10,0.011828440301861797
printList,10,0.011828440301861797
evacuate,10,0.011828440301861797
num_digits,10,0.011828440301861797
checkCase,10,0.011828440301861797
em,10,0.011828440301861797
recursive,10,0.011828440301861797
sp,10,0.011828440301861797
check_diagonal,10,0.011828440301861797
flipStack,10,0.011828440301861797
getString,10,0.011828440301861797
flipPancakes,10,0.011828440301861797
nextDbl,10,0.011828440301861797
fail,10,0.011828440301861797
free_list,10,0.011828440301861797
printcase,10,0.011828440301861797
writeResults,10,0.011828440301861797
Imax,10,0.011828440301861797
expand,10,0.011828440301861797
LINE,10,0.011828440301861797
get_answer,10,0.011828440301861797
printarr,10,0.011828440301861797
parent,10,0.011828440301861797
transform,10,0.011828440301861797
countSheep,10,0.011828440301861797
parseInput,10,0.011828440301861797
mini,10,0.011828440301861797
dequeue,10,0.011828440301861797
lineReturn,10,0.011828440301861797
decompose,10,0.011828440301861797
processLine,10,0.011828440301861797
fast_unsigned,10,0.011828440301861797
end,10,0.011828440301861797
freeCase,10,0.011828440301861797
binary,10,0.011828440301861797
print_output,10,0.011828440301861797
freeCases,10,0.011828440301861797
ip,10,0.011828440301861797
freeargv,10,0.011828440301861797
problem,10,0.011828440301861797
check_valid,10,0.011828440301861797
skip_newline,10,0.011828440301861797
areSorted,10,0.011828440301861797
equals,10,0.011828440301861797
ReadInput,10,0.011828440301861797
chopString,10,0.011828440301861797
perform,10,0.011828440301861797
IsTidy,10,0.011828440301861797
done,10,0.011828440301861797
get_digit,10,0.011828440301861797
doCase,10,0.011828440301861797
getNum,10,0.011828440301861797
follow,10,0.011828440301861797
read_and_solve,10,0.011828440301861797
interpret,10,0.011828440301861797
check_all,10,0.011828440301861797
on,10,0.011828440301861797
A,10,0.011828440301861797
com,10,0.011828440301861797
runCase,10,0.011828440301861797
less,10,0.011828440301861797
getinput,10,0.011828440301861797
arrange,10,0.011828440301861797
checkLine,10,0.011828440301861797
func1,9,0.010645596271675616
recur,9,0.010645596271675616
numDigits,9,0.010645596271675616
has,9,0.010645596271675616
product,9,0.010645596271675616
build,9,0.010645596271675616
hcf,9,0.010645596271675616
print_case,9,0.010645596271675616
readall,9,0.010645596271675616
number,9,0.010645596271675616
getChar,9,0.010645596271675616
comparator,9,0.010645596271675616
fall,9,0.010645596271675616
is_happy,9,0.010645596271675616
War,9,0.010645596271675616
sub,9,0.010645596271675616
destroy,9,0.010645596271675616
print_binary,9,0.010645596271675616
Dmax,9,0.010645596271675616
fastRead,9,0.010645596271675616
change_base,9,0.010645596271675616
btr,9,0.010645596271675616
writeOutput,9,0.010645596271675616
ARRAY,9,0.010645596271675616
area,9,0.010645596271675616
PUTCASE,9,0.010645596271675616
getInput,9,0.010645596271675616
bsort,9,0.010645596271675616
rep,9,0.010645596271675616
precalc,9,0.010645596271675616
check_rows,9,0.010645596271675616
GETINT,9,0.010645596271675616
p,9,0.010645596271675616
GETBR,9,0.010645596271675616
poisk,9,0.010645596271675616
GETLINE,9,0.010645596271675616
printTable,9,0.010645596271675616
found,9,0.010645596271675616
handle_case,9,0.010645596271675616
get_len,9,0.010645596271675616
newParser,9,0.010645596271675616
fn,9,0.010645596271675616
remove_element,9,0.010645596271675616
PrintUsage,9,0.010645596271675616
handlecase,9,0.010645596271675616
reset_values,9,0.010645596271675616
deceitful_war,9,0.010645596271675616
cnt,9,0.010645596271675616
getint,9,0.010645596271675616
is_valid,9,0.010645596271675616
calc_routine,9,0.010645596271675616
f2,9,0.010645596271675616
nline,9,0.010645596271675616
g,9,0.010645596271675616
check_prime,9,0.010645596271675616
readinput,9,0.010645596271675616
check_digits,9,0.010645596271675616
first,9,0.010645596271675616
ecrit_fichier,9,0.010645596271675616
bubbleSort,9,0.010645596271675616
query,9,0.010645596271675616
mintime,9,0.010645596271675616
parse_input,9,0.010645596271675616
process_input,9,0.010645596271675616
flips,9,0.010645596271675616
bSearch,9,0.010645596271675616
ab,9,0.010645596271675616
read_number,9,0.010645596271675616
Swap,9,0.010645596271675616
walk,9,0.010645596271675616
xor,9,0.010645596271675616
maximum,9,0.010645596271675616
execTestCase,9,0.010645596271675616
run_test_case,9,0.010645596271675616
isValid,9,0.010645596271675616
readNumber,9,0.010645596271675616
check_line,9,0.010645596271675616
get_min,8,0.009462752241489437
select,8,0.009462752241489437
teardown,8,0.009462752241489437
readNum,8,0.009462752241489437
adjust,8,0.009462752241489437
release,8,0.009462752241489437
new_node,8,0.009462752241489437
check_arr,8,0.009462752241489437
meth,8,0.009462752241489437
getpos,8,0.009462752241489437
findResult,8,0.009462752241489437
find_sink,8,0.009462752241489437
run_test_cases,8,0.009462752241489437
fact,8,0.009462752241489437
checa,8,0.009462752241489437
free_test_case,8,0.009462752241489437
check_winner,8,0.009462752241489437
Flip,8,0.009462752241489437
check_possible,8,0.009462752241489437
getNext,8,0.009462752241489437
pow2,8,0.009462752241489437
read_int2,8,0.009462752241489437
erase,8,0.009462752241489437
get_input,8,0.009462752241489437
print_grid,8,0.009462752241489437
printmap,8,0.009462752241489437
sort1,8,0.009462752241489437
simulate,8,0.009462752241489437
prod,8,0.009462752241489437
run_exp,8,0.009462752241489437
findm,8,0.009462752241489437
solv,8,0.009462752241489437
find_divisor,8,0.009462752241489437
FOR,8,0.009462752241489437
findNext,8,0.009462752241489437
stack,8,0.009462752241489437
preprocess,8,0.009462752241489437
processData,8,0.009462752241489437
track,8,0.009462752241489437
read_int4,8,0.009462752241489437
printOutput,8,0.009462752241489437
comp1,8,0.009462752241489437
solveTestCase,8,0.009462752241489437
printboard,8,0.009462752241489437
fast_in,8,0.009462752241489437
check_full,8,0.009462752241489437
find_solution,8,0.009462752241489437
put,8,0.009462752241489437
brute,8,0.009462752241489437
read_input_int,8,0.009462752241489437
readfile,8,0.009462752241489437
read_input_line,8,0.009462752241489437
Print,8,0.009462752241489437
Pow,8,0.009462752241489437
gravity,8,0.009462752241489437
r,8,0.009462752241489437
pwr,8,0.009462752241489437
same,8,0.009462752241489437
get_divisor,8,0.009462752241489437
isFair,8,0.009462752241489437
maxrow,8,0.009462752241489437
read_string,8,0.009462752241489437
check_board,8,0.009462752241489437
write_string,8,0.009462752241489437
docase,8,0.009462752241489437
writeall,8,0.009462752241489437
checkComplete,8,0.009462752241489437
init_input,8,0.009462752241489437
affiche,8,0.009462752241489437
cmpstringp,8,0.009462752241489437
decrease,8,0.009462752241489437
has_won,8,0.009462752241489437
findarr,8,0.009462752241489437
mystrcmp,8,0.009462752241489437
swapdig,8,0.009462752241489437
exist,8,0.009462752241489437
fgetline,8,0.009462752241489437
paw,8,0.009462752241489437
isOn,8,0.009462752241489437
aux,8,0.009462752241489437
add_dir,8,0.009462752241489437
printMap,8,0.009462752241489437
_read_number,8,0.009462752241489437
is_palin,8,0.009462752241489437
Judge,8,0.009462752241489437
lawn,8,0.009462752241489437
doStuff,8,0.009462752241489437
lp,8,0.009462752241489437
HandleLable,8,0.009462752241489437
maxcol,8,0.009462752241489437
checkpal,8,0.009462752241489437
findAnswer,8,0.009462752241489437
minimum,8,0.009462752241489437
good,8,0.009462752241489437
menor,8,0.009462752241489437
find_next,8,0.009462752241489437
sgn,8,0.009462752241489437
Partition,8,0.009462752241489437
check3,8,0.009462752241489437
nextDouble,8,0.009462752241489437
find_max,8,0.009462752241489437
calculateTime,8,0.009462752241489437
findNumber,8,0.009462752241489437
main2,8,0.009462752241489437
maneuver,8,0.009462752241489437
get_next,8,0.009462752241489437
turn,8,0.009462752241489437
checkColumn,8,0.009462752241489437
printRes,8,0.009462752241489437
ms,8,0.009462752241489437
res,8,0.009462752241489437
full,8,0.009462752241489437
fix,7,0.008279908211303259
print_input,7,0.008279908211303259
re,7,0.008279908211303259
mainProcess,7,0.008279908211303259
sagot,7,0.008279908211303259
root,7,0.008279908211303259
take_input,7,0.008279908211303259
dothedo,7,0.008279908211303259
allocate,7,0.008279908211303259
readTestCase,7,0.008279908211303259
readdata,7,0.008279908211303259
tidynumber,7,0.008279908211303259
getstring,7,0.008279908211303259
resuelve,7,0.008279908211303259
b,7,0.008279908211303259
Merge,7,0.008279908211303259
form,7,0.008279908211303259
heapSort,7,0.008279908211303259
comb,7,0.008279908211303259
solveOne,7,0.008279908211303259
getInp,7,0.008279908211303259
po,7,0.008279908211303259
Load,7,0.008279908211303259
get_index,7,0.008279908211303259
initial,7,0.008279908211303259
calc_result,7,0.008279908211303259
isTidyNumber,7,0.008279908211303259
onecase,7,0.008279908211303259
stringCompare,7,0.008279908211303259
checktidy,7,0.008279908211303259
read_intx,7,0.008279908211303259
finished,7,0.008279908211303259
check_tidy,7,0.008279908211303259
dijkstra,7,0.008279908211303259
dsort,7,0.008279908211303259
step,7,0.008279908211303259
lee,7,0.008279908211303259
get_number,7,0.008279908211303259
QS,7,0.008279908211303259
magicka,7,0.008279908211303259
peekchar,7,0.008279908211303259
get_multi,7,0.008279908211303259
numdigits,7,0.008279908211303259
isSpaceChar,7,0.008279908211303259
matches,7,0.008279908211303259
isfair,7,0.008279908211303259
ascending,7,0.008279908211303259
minus,7,0.008279908211303259
welcome,7,0.008279908211303259
print_tree,7,0.008279908211303259
creer,7,0.008279908211303259
putNextData,7,0.008279908211303259
ovation,7,0.008279908211303259
Count,7,0.008279908211303259
solved,7,0.008279908211303259
getNextData,7,0.008279908211303259
getNumCases,7,0.008279908211303259
checkres,7,0.008279908211303259
assign,7,0.008279908211303259
processNextData,7,0.008279908211303259
C,7,0.008279908211303259
check_columns,7,0.008279908211303259
maximumLine,7,0.008279908211303259
countFairAndSquare,7,0.008279908211303259
max3,7,0.008279908211303259
mysort,7,0.008279908211303259
inita,7,0.008279908211303259
isRecycled,7,0.008279908211303259
readData,7,0.008279908211303259
checkpalin,7,0.008279908211303259
min_time,7,0.008279908211303259
redirect,7,0.008279908211303259
contain,7,0.008279908211303259
total,7,0.008279908211303259
pallindrome,7,0.008279908211303259
isPalin,7,0.008279908211303259
maximumColumn,7,0.008279908211303259
lookup,7,0.008279908211303259
get_ans,7,0.008279908211303259
rot,7,0.008279908211303259
flushLine,7,0.008279908211303259
process_testcase,7,0.008279908211303259
check_draw,7,0.008279908211303259
darray_init,7,0.008279908211303259
SnapperChain,7,0.008279908211303259
writeCase,7,0.008279908211303259
add_element,7,0.008279908211303259
get_element,7,0.008279908211303259
minn,7,0.008279908211303259
gnums,7,0.008279908211303259
does_exist,7,0.008279908211303259
cookies,7,0.008279908211303259
find_all,7,0.008279908211303259
add_char,7,0.008279908211303259
getans,7,0.008279908211303259
str_addr,7,0.008279908211303259
set_other_types,7,0.008279908211303259
revs,7,0.008279908211303259
nod,7,0.008279908211303259
inverse,7,0.008279908211303259
return,7,0.008279908211303259
checkCell,7,0.008279908211303259
prompt,7,0.008279908211303259
Run,7,0.008279908211303259
write_test_case,7,0.008279908211303259
fileinput,7,0.008279908211303259
dprintf,7,0.008279908211303259
incr,7,0.008279908211303259
printMatrix,7,0.008279908211303259
Tidy,6,0.007097064181117078
checkDiag2,6,0.007097064181117078
remp,6,0.007097064181117078
chkcol,6,0.007097064181117078
is_consonant,6,0.007097064181117078
countdigit,6,0.007097064181117078
cmpr,6,0.007097064181117078
absolute,6,0.007097064181117078
runtestcase,6,0.007097064181117078
checkDiag1,6,0.007097064181117078
addNode,6,0.007097064181117078
ColmnSearch,6,0.007097064181117078
rowSearch,6,0.007097064181117078
notover,6,0.007097064181117078
readNextVal,6,0.007097064181117078
diagonalSearch,6,0.007097064181117078
find_digits,6,0.007097064181117078
flip_stack,6,0.007097064181117078
ecrire_resultats,6,0.007097064181117078
ReadData,6,0.007097064181117078
get_T,6,0.007097064181117078
checkpalindrome,6,0.007097064181117078
getInteger,6,0.007097064181117078
printinput,6,0.007097064181117078
process_line,6,0.007097064181117078
read_char_int,6,0.007097064181117078
vyres,6,0.007097064181117078
checkDraw,6,0.007097064181117078
click,6,0.007097064181117078
valido,6,0.007097064181117078
round,6,0.007097064181117078
analyser_valeurs,6,0.007097064181117078
visit,6,0.007097064181117078
max1,6,0.007097064181117078
printResults,6,0.007097064181117078
writeResult,6,0.007097064181117078
flip_pancake,6,0.007097064181117078
drain,6,0.007097064181117078
init_table,6,0.007097064181117078
tobase,6,0.007097064181117078
reverseint,6,0.007097064181117078
checkPalin,6,0.007097064181117078
call,6,0.007097064181117078
top,6,0.007097064181117078
write_line_for_case,6,0.007097064181117078
charger_valeurs,6,0.007097064181117078
Get_Matches,6,0.007097064181117078
vertical,6,0.007097064181117078
strreverse,6,0.007097064181117078
StringSplit2Int,6,0.007097064181117078
StringSplit,6,0.007097064181117078
special,6,0.007097064181117078
findBest,6,0.007097064181117078
leer,6,0.007097064181117078
resultat,6,0.007097064181117078
PrintOutput,6,0.007097064181117078
isfull,6,0.007097064181117078
IsValid,6,0.007097064181117078
checkNumber,6,0.007097064181117078
Compare,6,0.007097064181117078
getNumDigits,6,0.007097064181117078
buyCookieFarm,6,0.007097064181117078
str_cmp,6,0.007097064181117078
surprising,6,0.007097064181117078
free_input,6,0.007097064181117078
prob,6,0.007097064181117078
solve_input,6,0.007097064181117078
isOK,6,0.007097064181117078
power10,6,0.007097064181117078
solveP,6,0.007097064181117078
impossible,6,0.007097064181117078
find_war,6,0.007097064181117078
find_depli,6,0.007097064181117078
solve_the_problem,6,0.007097064181117078
read_a_record,6,0.007097064181117078
